Epoch,	LearningRate,	Loss,	Accuracy,	BatchesProcessed,	PredictionsMade,	EpochDuration,	Number of partitions,	Number Of Lines, 	MemoryUsed
0, 0.000002, 7.5511, 7.09, 406, 6487, 12046, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707991191
1, 0.000002, 6.4038, 8.62, 406, 6487, 10244, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707986929
2, 0.000002, 5.6395, 8.62, 406, 6487, 9531, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707991219
3, 0.000002, 5.4770, 8.62, 406, 6487, 10618, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707991237
4, 0.000002, 5.4648, 8.62, 406, 6487, 11232, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707986983
5, 0.000002, 5.4885, 8.62, 406, 6487, 10146, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707991266
6, 0.000002, 5.5237, 8.62, 406, 6487, 10393, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707987008
7, 0.000002, 5.5629, 8.62, 406, 6487, 10009, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707982699
8, 0.000002, 5.6033, 8.62, 406, 6487, 10690, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707991247
9, 0.000002, 5.6440, 8.62, 406, 6487, 10678, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707986968
10, 0.000002, 5.6840, 8.62, 406, 6487, 10388, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707982692
11, 0.000002, 5.7224, 8.62, 406, 6487, 10239, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707978402
12, 0.000002, 5.7584, 8.62, 406, 6487, 10429, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707974129
13, 0.000002, 5.7914, 8.62, 406, 6487, 10860, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707969877
14, 0.000002, 5.8209, 8.62, 406, 6487, 11595, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707987024
15, 0.000002, 5.8470, 8.62, 406, 6487, 10862, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707979630
16, 0.000002, 5.8699, 8.62, 406, 6487, 11282, 2, 559, 10.0.0.43:60740: Max Memory = 2710359244, Remaining Memory = 2707972243
