Epoch,	LearningRate,	Loss,	Accuracy,	BatchesProcessed,	PredictionsMade,	EpochDuration,	Number of partitions,	Number Of Lines, 	MemoryUsed
1, 0.001743, 7.5697, 7.29, 397, 6327, 12295, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2708002997
2, 0.001743, 6.4568, 8.44, 397, 6327, 11044, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2707998689
3, 0.001743, 5.6961, 8.44, 397, 6327, 12908, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2707998742
4, 0.001743, 5.5347, 8.44, 397, 6327, 14284, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2707999896
5, 0.001743, 5.5288, 8.44, 397, 6327, 12876, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2708003003
6, 0.001743, 5.5599, 8.44, 397, 6327, 14183, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2708003022
7, 0.001743, 5.6032, 8.44, 397, 6327, 11600, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2707998743
8, 0.001743, 5.6511, 8.44, 397, 6327, 12011, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2708003038
9, 0.001743, 5.7007, 8.44, 397, 6327, 11058, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2707998756
10, 0.001743, 5.7506, 8.44, 397, 6327, 11863, 2, 559, 10.0.0.43:58949: Max Memory = 2710359244, Remaining Memory = 2707994471
