Epoch,LearningRate,Loss,Accuracy,BatchesProcessed,PredictionsMade,EpochDuration,MemoryUsed
1,0.001743,8.4855,5.34,50,786,2759,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707572318
2,0.001743,8.3952,5.34,50,786,2445,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707568078
3,0.001743,8.2796,5.22,50,786,2143,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707568082
4,0.001743,8.1398,5.22,50,786,2490,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707572309
5,0.001743,7.9806,4.83,50,786,1736,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707572319
6,0.001743,7.8061,5.60,50,786,2376,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707568093
7,0.001743,7.6199,5.98,50,786,2234,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707563878
8,0.001743,7.4260,5.98,50,786,2129,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707572313
9,0.001743,7.2290,5.98,50,786,2573,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707568084
10,0.001743,7.0347,5.98,50,786,2461,10.0.0.43:55055: Max Memory = 2710359244, Remaining Memory = 2707563854
